dLET,dLET100,MeV/nuc,z2/b2
62.1,32.9,130,466
80,42.9,84.2,631
84.6,45.5,78.6,675
96.9,52.4,68.1,793
110,59.6,57.5,922
146,80.6,38.4,1310
158,86.8,35.7,1430
178,97.1,31.1,1620
182,99.2,30.2,1660
219,118,24.7,2050
239,129,21.7,2260
277,148,18.2,2680
287,154,17.5,2790
373,199,12.8,3810
528,281,7.71,5820
569,303,7.1,6390
693,369,4.96,8250
