dLET,dLET100,MeV/nuc,z2/b2
18.6,9.89,10.1,196
23,12.3,7.73,255
23.8,12.7,7.39,266
24,12.8,7.3,269
29.9,16.1,5.5,354
38.1,20.6,4.07,482
39.2,21.2,3.92,500
39.4,21.3,3.9,504
50,27.4,2.83,692
51.9,28.5,2.72,729
52.3,28.7,2.7,736
58.9,32.5,2.33,864
61.9,34.3,2.16,922
73.9,41.4,1.65,1179
74.6,41.8,1.62,1195
90.8,51.2,1.27,1578
